username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
ezra_ltb,aşkın tadı donmuş tereyağı,bts|txt|twice|sunmi|conor|mm,312,64,23601,7,"hate those two couples 
#katsura #ikumatsu #TheOffice https://t.co/dKHpY1m2Gp","['katsura', 'ikumatsu', 'TheOffice']"
alijanepalmer,Social Democrat. Radical Downtown Urbanite. I got Justin Trudeau to visit my grade 6 online class with one tweet and I pretty much never shut up about it.,Edmonton/Treaty Six,1869,1192,8849,0,"One of my fav episodes of The Office is Golden Ticket, written by the great @mindykaling. It has the best couplet:

Michael: “Hey, hey, hey! You idiot!”

Darryl: “Start over.” 

#TheOffice",['TheOffice']
freaksngkz,woman on the verge of a mental breakdown • roy kent spokesperson • she/her •,,451,506,25410,0,"Sorry, I was busy watching S08 | E17 of The Office (US)! #theoffice  https://t.co/05J1zadNZm #tvtime https://t.co/vWMHW1De0Q","['theoffice', 'tvtime']"
freaksngkz,woman on the verge of a mental breakdown • roy kent spokesperson • she/her •,,451,506,25410,0,"Sorry, I was busy watching S08 | E16 of The Office (US)! #theoffice  https://t.co/9hKcUOdzdn #tvtime https://t.co/ftHhQHz9Zh","['theoffice', 'tvtime']"
PJordan_FL,send me your dog pics. @Dolphins @OrlandoMagic @TBLightning @sternshow @GreenDay @CageTheElephant,"Orlando, FL",266,1887,102711,0,Probably seen this episode 25 times.   This scene gets me every time.  #TheOffice https://t.co/xDz4xik4u1,['TheOffice']
HarveyComputron,Office quotes every hour on the hour,,15,5,12133,0,"Ah. Well, please think about it. And call me. We will do whatever we can to get you to stay.

Okay.
#TheOffice",['TheOffice']
Nicoli900,eh,,148,29,136,0,"what's worse, the last hour or the first hour of work? 🤔
#TheOffice #officelife #saveus #slow","['TheOffice', 'officelife', 'saveus', 'slow']"
CoopersSeafood,"⚓️ Scranton PA's premier Restaurant, micro brewery and craft beer bar!  As Seen on THE OFFICE!","Scranton, PA",802,3994,2552,0,"Wow!  It is the perfect day to be dining with us outside. Come on down now, we’re waiting for you! 

#roadsideattractions #theoffice #roadsideattraction #scranton #roadsideamerica #visitlackawannapa #neverordinary #coopersseafood #scrantonpa https://t.co/F5X4qfdnAJ","['roadsideattractions', 'theoffice', 'roadsideattraction', 'scranton', 'roadsideamerica', 'visitlackawannapa', 'neverordinary', 'coopersseafood', 'scrantonpa']"
TriviaAD,"Email info@triviaad.com for virtual corporate/birthday events. Bar & restaurant owners (NYC, NJ, CT), email info@triviaad.com to book your weekly trivia night!","Bergen County, NJ",1430,1825,302184,0,#TheOffice #Trivia @BarBlackBear TOMORROW at 8pm. RSVP at; https://t.co/suMQRSui0I #TheOfficeTrivia #Hoboken #MichaelScott #SteveCarell,"['TheOffice', 'Trivia', 'TheOfficeTrivia', 'Hoboken', 'MichaelScott', 'SteveCarell']"
MSVlogCreation,"27 | Content Creator | Storytelling | Vlogger 
STORYFIRE: https://t.co/kzb5I7o59F               
YOUTUBE: https://t.co/CRQ9ZZiqDv…","Pennsylvania, USA",104,158,4252,1,"Go catch the NEW video! 
#youtube #subscribe #dead #drunk #passedout #prank #pranks #theoffice #vlog #food #retrogaming 
-&gt; https://t.co/7vkf45LF7E &lt;- https://t.co/d1wDb9pHIR","['youtube', 'subscribe', 'dead', 'drunk', 'passedout', 'prank', 'pranks', 'theoffice', 'vlog', 'food', 'retrogaming']"
hungry87,I love polls of movies and music NO DMS!!,Unknown parts,729,384,61644,1,"Happy 74th Birthday @MsKathyBates! 🎂

What 📺 TV series or Movie 🎬 do you like #KathyBates in most? 

#TheOffice #AmericanHorrorStory #Titanic #Misery

Vote, 🗳 💬 Comment &amp; 🔁 Retweet your fave ❤
#birthday #poll #vote #retweet","['KathyBates', 'TheOffice']"
